date,y,hour,dayofweek,month,quarter,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos
2020-01-01 00:00:00,0.5780000000000001,0,2,1,1,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2020-01-01 01:00:00,0.14166666666666666,1,2,1,1,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2020-01-01 02:00:00,-0.15333333333333335,2,2,1,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2020-01-01 03:00:00,-0.615,3,2,1,1,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434
2020-01-01 04:00:00,-1.4166666666666667,4,2,1,1,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
2020-01-01 05:00:00,-2.203333333333333,5,2,1,1,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434
2020-01-01 06:00:00,-2.6666666666666665,6,2,1,1,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
2020-01-01 07:00:00,-2.5500000000000003,7,2,1,1,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
2020-01-01 08:00:00,-2.935,8,2,1,1,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
2020-01-01 09:00:00,-2.9299999999999997,9,2,1,1,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434
2020-01-01 10:00:00,-1.3833333333333335,10,2,1,1,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
2020-01-01 11:00:00,-0.585,11,2,1,1,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434
2020-01-01 12:00:00,1.5233333333333334,12,2,1,1,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
2020-01-01 13:00:00,3.42,13,2,1,1,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434
2020-01-01 14:00:00,3.811666666666667,14,2,1,1,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
2020-01-01 15:00:00,4.355,15,2,1,1,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434
2020-01-01 16:00:00,3.0366666666666666,16,2,1,1,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
2020-01-01 17:00:00,1.3083333333333333,17,2,1,1,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
2020-01-01 18:00:00,0.02,18,2,1,1,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
2020-01-01 19:00:00,-1.3533333333333335,19,2,1,1,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434
2020-01-01 20:00:00,-2.08,20,2,1,1,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
2020-01-01 21:00:00,-2.975,21,2,1,1,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434
2020-01-01 22:00:00,-3.1580666666666666,22,2,1,1,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
2020-01-01 23:00:00,-3.1580666666666666,23,2,1,1,0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434
2020-01-02 00:00:00,-3.1580666666666666,0,3,1,1,0,0.0,1.0,0.43388373911755823,-0.900968867902419
2020-01-02 01:00:00,-3.1580666666666666,1,3,1,1,0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419
2020-01-02 02:00:00,-3.1580666666666666,2,3,1,1,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2020-01-02 03:00:00,-3.1580666666666666,3,3,1,1,0,0.7071067811865475,0.7071067811865476,0.43388373911755823,-0.900968867902419
2020-01-02 04:00:00,-3.1580666666666666,4,3,1,1,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
2020-01-02 05:00:00,-3.1580666666666666,5,3,1,1,0,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419
2020-01-02 06:00:00,-3.1580666666666666,6,3,1,1,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
2020-01-02 07:00:00,-3.1580666666666666,7,3,1,1,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419
2020-01-02 08:00:00,-3.1580666666666666,8,3,1,1,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419
2020-01-02 09:00:00,-3.1580666666666666,9,3,1,1,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419
2020-01-02 10:00:00,-3.1580666666666666,10,3,1,1,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
2020-01-02 11:00:00,-0.5016666666666667,11,3,1,1,0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419
2020-01-02 12:00:00,2.5566666666666666,12,3,1,1,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
2020-01-02 13:00:00,5.881666666666667,13,3,1,1,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419
2020-01-02 14:00:00,5.805,14,3,1,1,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419
2020-01-02 15:00:00,5.493333333333333,15,3,1,1,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419
2020-01-02 16:00:00,3.47,16,3,1,1,0,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419
2020-01-02 17:00:00,2.0916666666666663,17,3,1,1,0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419
2020-01-02 18:00:00,0.895,18,3,1,1,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419
2020-01-02 19:00:00,-0.365,19,3,1,1,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419
2020-01-02 20:00:00,-0.47500000000000003,20,3,1,1,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
2020-01-02 21:00:00,-0.18666666666666665,21,3,1,1,0,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419
2020-01-02 22:00:00,0.2866666666666667,22,3,1,1,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
2020-01-02 23:00:00,0.6183333333333333,23,3,1,1,0,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419
2020-01-03 00:00:00,0.84,0,4,1,1,0,0.0,1.0,-0.433883739117558,-0.9009688679024191
2020-01-03 01:00:00,1.845,1,4,1,1,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2020-01-03 02:00:00,1.7033333333333334,2,4,1,1,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2020-01-03 03:00:00,2.703333333333333,3,4,1,1,0,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191
2020-01-03 04:00:00,2.9583333333333335,4,4,1,1,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
2020-01-03 05:00:00,2.955,5,4,1,1,0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191
2020-01-03 06:00:00,2.5466666666666664,6,4,1,1,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
2020-01-03 07:00:00,2.793333333333333,7,4,1,1,0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191
2020-01-03 08:00:00,3.6666666666666665,8,4,1,1,0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191
2020-01-03 09:00:00,3.331666666666667,9,4,1,1,0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191
2020-01-03 10:00:00,3.5683333333333334,10,4,1,1,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
2020-01-03 11:00:00,4.205,11,4,1,1,0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191
2020-01-03 12:00:00,5.428333333333334,12,4,1,1,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
2020-01-03 13:00:00,6.908333333333334,13,4,1,1,0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191
2020-01-03 14:00:00,6.536666666666666,14,4,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
2020-01-03 15:00:00,6.506666666666667,15,4,1,1,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191
2020-01-03 16:00:00,6.555,16,4,1,1,0,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191
2020-01-03 17:00:00,6.536666666666666,17,4,1,1,0,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191
2020-01-03 18:00:00,6.543333333333333,18,4,1,1,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191
2020-01-03 19:00:00,6.996666666666667,19,4,1,1,0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191
2020-01-03 20:00:00,7.5633333333333335,20,4,1,1,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
2020-01-03 21:00:00,7.853333333333333,21,4,1,1,0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191
2020-01-03 22:00:00,7.7250000000000005,22,4,1,1,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
2020-01-03 23:00:00,7.776666666666666,23,4,1,1,0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191
2020-01-04 00:00:00,5.843333333333334,0,5,1,1,1,0.0,1.0,-0.9749279121818236,-0.2225209339563146
