step,actual,lstm
0,-1.015,6.949
1,-1.066666666666667,6.963505
2,-0.86,7.0751333
3,-0.9700000000000002,7.2787085
4,-1.3133333333333332,7.564613
5,-0.8233333333333331,7.9169836
6,0.29666666666666686,8.312829
7,2.0799999999999996,8.722928
8,3.4949999999999997,9.23909
9,4.6450000000000005,9.770121
10,5.3966666666666665,10.174465
11,5.946666666666665,10.422578
12,6.188333333333333,10.500037
13,6.148333333333333,10.407665
14,6.035,10.159752
15,5.541666666666667,9.781201
16,4.118333333333332,9.304169
17,2.8083333333333336,8.986318
18,1.638333333333333,8.653625
19,1.0433333333333337,8.322442
20,0.7300000000000001,8.011128
21,0.14000000000000007,7.7356253
22,-0.3133333333333332,7.5095854
23,-0.6399999999999998,7.3412495
24,-1.0133333333333334,7.2386556
25,-1.0450000000000002,7.2069163
26,-0.86,7.248504
27,-0.5816666666666667,7.362726
28,0.10000000000000005,7.5447206
29,0.30000000000000016,7.784334
30,0.55,8.065495
31,1.1633333333333329,8.366672
32,2.14,8.662794
33,3.2499999999999996,8.928191
34,5.868333333333332,9.17223
35,6.781666666666666,9.395081
36,6.443333333333332,9.4811735
37,5.073333333333332,9.426684
38,3.771666666666666,9.239883
39,3.1883333333333326,9.043287
40,2.411666666666666,8.819439
41,1.4733333333333336,8.559478
42,1.2166666666666668,8.281276
43,1.0833333333333328,8.00221
44,0.8349999999999999,7.7383113
45,0.40833333333333355,7.5037336
46,0.14666666666666658,7.3134294
47,-0.22333333333333336,7.1686563
48,-0.29333333333333317,7.074331
49,-0.255,7.0328374
50,-0.3616666666666666,7.0451517
51,-0.46499999999999986,7.110324
52,-0.41,7.2245526
53,-0.26333333333333336,7.3802786
54,-0.0883333333333334,7.565643
55,0.605,7.764784
56,1.336666666666667,7.959091
57,1.6266666666666671,8.133115
58,2.0550000000000006,8.281615
59,2.06,8.430577
60,1.9249999999999996,8.464888
61,1.811666666666667,8.381916
62,2.01,8.18917
63,1.9783333333333335,8.009532
64,1.7649999999999995,7.80081
65,1.4633333333333334,7.5706315
66,1.665,7.330366
67,1.8533333333333335,7.0939217
68,1.8766666666666667,6.8738565
69,1.9416666666666673,6.681034
70,1.6866666666666668,6.521914
71,1.3383333333333334,6.4061246
72,1.2516666666666667,6.3394556
73,1.2666666666666662,6.326415
74,1.2400000000000002,6.369971
75,1.1750000000000005,6.470951
76,1.1750000000000005,6.6270766
77,1.3583333333333338,6.831844
78,1.7466666666666664,7.074147
79,1.966666666666667,7.348062
80,2.236666666666667,7.6202817
81,2.7266666666666666,7.933282
82,2.9916666666666663,8.271682
83,3.358333333333333,8.503593
84,3.381666666666666,8.611584
85,3.2183333333333333,8.589761
86,2.7583333333333333,8.4437
87,2.5583333333333327,8.188947
88,2.7416666666666667,7.8486395
89,2.65,7.607734
90,2.455,7.36459
91,2.401666666666667,7.123541
92,2.121666666666666,6.896282
93,1.7883333333333329,6.6957755
94,1.6400000000000003,6.511675
95,1.381666666666667,6.3701987
96,1.1299999999999994,6.281853
97,0.9766666666666667,6.255038
98,0.8416666666666663,6.295174
99,0.43333333333333324,6.4044037
100,-0.3816666666666666,6.5810075
101,-0.8733333333333334,6.818414
102,-0.7116666666666669,7.112556
103,0.16000000000000006,7.4383445
104,1.8666666666666665,7.7682815
105,3.5616666666666665,8.236031
106,3.86,8.641997
107,4.308333333333333,8.9284525
108,4.055,9.072451
109,2.7849999999999997,9.063763
110,2.525,8.907529
111,2.0400000000000005,8.621313
112,1.6466666666666667,8.23225
113,1.4333333333333336,7.916864
114,1.4499999999999995,7.63977
115,1.4466666666666668,7.360305
116,1.318333333333333,7.0980077
117,0.7216666666666667,6.8673716
118,0.2899999999999999,6.685574
119,0.2833333333333334,6.561733
120,0.3299999999999999,6.503861
121,0.5916666666666669,6.518058
122,0.6516666666666665,6.6083603
123,-0.05499999999999992,6.7761817
124,0.04833333333333339,7.018977
125,0.3816666666666666,7.328447
126,0.6399999999999998,7.6889706
127,1.0266666666666662,8.09077
128,1.2316666666666671,8.709832
129,1.581666666666667,9.266558
130,1.9183333333333323,9.718039
131,2.028333333333333,10.02388
132,2.188333333333333,10.159436
133,1.993333333333332,10.118922
134,1.7866666666666673,9.916675
135,1.4400000000000002,9.574353
136,1.3383333333333334,9.122321
137,1.1099999999999999,8.597721
138,1.2633333333333334,8.234713
139,1.3049999999999997,7.905312
140,1.3433333333333335,7.59625
141,1.1766666666666667,7.324069
142,0.8016666666666663,7.1097116
143,0.7333333333333334,6.9620023
144,0.8683333333333333,6.890108
145,0.7716666666666665,6.900612
146,0.8216666666666668,6.9972134
147,0.8966666666666667,7.180046
148,0.8683333333333333,7.444179
149,0.6583333333333334,7.777874
150,0.22333333333333336,8.1614065
151,0.14833333333333343,8.596059
152,0.17333333333333312,9.219081
153,0.6166666666666666,9.768178
154,0.41833333333333333,10.197482
155,0.23666666666666641,10.473138
156,0.0016666666666664118,10.577905
157,-0.27833333333333327,10.5078535
158,-0.4133333333333332,10.274856
159,-1.1900000000000002,9.902933
160,-1.6333333333333335,9.42446
161,-1.4583333333333333,8.933113
162,-1.235,8.5932255
163,-1.22,8.253161
164,-1.12,7.932907
165,-1.061666666666667,7.6499095
166,-1.1483333333333334,7.4227757
167,-1.2266666666666666,7.260153
